,Rank,branch_ins
2,1,1024110
3,2,1024110
4,3,1044110
5,4,1094110
6,7,1104110
7,8,1045216
8,10,1064110
9,11,1134110
10,12,1174110
11,13,1164110
12,16,1065216
13,17,1054110
14,18,1114110
15,19,1044110
16,20,1044124
17,23,1044111
18,27,1134114
19,28,1024111
20,29,1154110
21,30,1174181
22,33,1024125
23,34,1014110
24,36,1165216
25,39,1144110
26,40,1064115
27,41,1144110
28,43,1044112
29,45,1024110
30,46,1104110
31,47,1045254
32,49,1064110
33,50,1124110
34,53,1214110
35,54,1064111
36,55,1174110
37,56,1174124
38,57,1094203
39,58,1025217
40,59,1034110
